0.78589797	0.81602286	0.8122253	0.80400518
0.7362955	0.81514642	0.81317446	0.77104368
0.73929971	0.81053683	0.80795474	0.76561916
0.71408337	0.76621518	0.77195249	0.74485553
0.72709257	0.7625326	0.7673172	0.74821994
0.68067294	0.7479546	0.7509484	0.71173874
0.69925928	0.74408939	0.74439823	0.72102763
0.72398733	0.73920356	0.73348735	0.68721879
0.71881945	0.73889917	0.73101324	0.68309073
0.702426	0.73313017	0.7203727	0.64473053
0.7054848	0.73208909	0.72067775	0.64622655
0.73077148	0.72744546	0.73152049	0.71762632
0.70936789	0.71397038	0.71717705	0.69937595
0.57643784	0.70137465	0.69148077	0.60784611
0.58124985	0.70088134	0.69295912	0.61114736
0.64499246	0.67113101	0.66475131	0.6661355
0.62021124	0.65469873	0.64724826	0.65105169
0.6120379	0.65134031	0.65156414	0.62754686
0.62150526	0.65131019	0.64986978	0.63135206
0.49761266	0.62172678	0.62044799	0.58235978
0.57233198	0.62089553	0.62008965	0.57465577
0.52373582	0.61504106	0.61357043	0.58311081
0.57381442	0.61041131	0.60889471	0.56381518
0.55127996	0.60626033	0.60789663	0.57429846
0.52659491	0.54399905	0.54718001	0.51493257
0.44379297	0.5187278	0.51924382	0.48363532
0.41122004	0.51342273	0.51383819	0.45838554
0.45054543	0.49977193	0.50044337	0.46193264
0.43250119	0.48983218	0.49049285	0.44277755
0.17748811	0.22955192	0.23205851	0.16151721
0.18973579	0.22775597	0.23300372	0.16684215
